pct,numerator,denominator,abs_diff_pp,reproduces,small_n,unit,numerator_rule,pending_rule,rescinded_rule,date_basis,window
71.88,23.0,32,0.12,True,False,candidates: outcome of latest offer (Offered On),Accepted and Proposed Start Date <= 2026-08-27,Pending counted as accepted,none (no Rescinded status exists),Offers.Offered On,trailing 12m to 2026-08-27
71.88,23.0,32,0.12,True,False,candidates: outcome of latest offer (Offered On),Accepted and Proposed Start Date <= 2026-08-27,Pending counted as accepted,none (no Rescinded status exists),Applications.Offered On,trailing 12m to 2026-08-27
71.88,23.0,32,0.12,True,False,candidates: outcome of latest offer (Offered On),Accepted and Proposed Start Date <= 2026-08-27,Pending counted as accepted,none (no Rescinded status exists),Offers.Offered On,trailing 12m to 2026-09-14
71.88,23.0,32,0.12,True,False,candidates: outcome of latest offer (Offered On),Accepted and Proposed Start Date <= 2026-08-27,Pending counted as accepted,none (no Rescinded status exists),Applications.Offered On,trailing 12m to 2026-09-14
71.88,23.0,32,0.12,True,False,offer records,Accepted and Proposed Start Date <= 2026-08-27,Pending counted as accepted,proxy: application carries a Rejection Reason -> excluded,Offers.Decision On,trailing 12m to 2026-08-27
71.88,23.0,32,0.12,True,False,offer records,Accepted and Proposed Start Date <= 2026-08-27,Pending counted as accepted,proxy: application carries a Rejection Reason -> excluded,Offers.Decision On,trailing 12m to 2026-09-14
71.88,23.0,32,0.12,True,False,candidates: accepted if any offer accepted,Accepted and Proposed Start Date <= 2026-08-27,Pending counted as accepted,proxy: application carries a Rejection Reason -> not accepted,none (all time),all time
71.88,23.0,32,0.12,True,False,candidates: accepted if any offer accepted,Accepted and Proposed Start Date <= 2026-08-27,Pending counted as accepted,proxy: application carries a Rejection Reason -> not accepted,Offers.Offered On,trailing 12m to 2026-08-27
71.88,23.0,32,0.12,True,False,candidates: accepted if any offer accepted,Accepted and Proposed Start Date <= 2026-08-27,Pending counted as accepted,proxy: application carries a Rejection Reason -> not accepted,Applications.Offered On,trailing 12m to 2026-08-27
71.88,23.0,32,0.12,True,False,candidates: accepted if any offer accepted,Accepted and Proposed Start Date <= 2026-08-27,Pending counted as accepted,proxy: application carries a Rejection Reason -> not accepted,Offers.Offered On,trailing 12m to 2026-09-14
71.88,23.0,32,0.12,True,False,candidates: accepted if any offer accepted,Accepted and Proposed Start Date <= 2026-08-27,Pending counted as accepted,proxy: application carries a Rejection Reason -> not accepted,Applications.Offered On,trailing 12m to 2026-09-14
71.88,23.0,32,0.12,True,False,candidates: accepted if any offer accepted,Accepted and Proposed Start Date <= 2026-09-14,Pending counted as accepted,proxy: application carries a Rejection Reason -> not accepted,none (all time),all time
71.88,23.0,32,0.12,True,False,candidates: accepted if any offer accepted,Accepted and Proposed Start Date <= 2026-09-14,Pending counted as accepted,proxy: application carries a Rejection Reason -> not accepted,Offers.Offered On,trailing 12m to 2026-08-27
71.88,23.0,32,0.12,True,False,candidates: accepted if any offer accepted,Accepted and Proposed Start Date <= 2026-09-14,Pending counted as accepted,proxy: application carries a Rejection Reason -> not accepted,Applications.Offered On,trailing 12m to 2026-08-27
71.88,23.0,32,0.12,True,False,candidates: accepted if any offer accepted,Accepted and Proposed Start Date <= 2026-09-14,Pending counted as accepted,proxy: application carries a Rejection Reason -> not accepted,Offers.Offered On,trailing 12m to 2026-09-14
71.88,23.0,32,0.12,True,False,candidates: accepted if any offer accepted,Accepted and Proposed Start Date <= 2026-09-14,Pending counted as accepted,proxy: application carries a Rejection Reason -> not accepted,Applications.Offered On,trailing 12m to 2026-09-14
71.88,11.5,16,0.12,True,True,requisitions: mean of per-requisition rates,Status = Accepted,Pending excluded,proxy: application carries a Rejection Reason -> not accepted,Offers.Decision On,2026 YTD to 2026-09-14
71.88,11.5,16,0.12,True,True,requisitions: mean of per-requisition rates,Accepted and Proposed Start Date <= 2026-09-14,Pending counted as not accepted,proxy: offer on a Cancelled opening -> excluded,none (all time),all time
71.88,11.5,16,0.12,True,True,requisitions: mean of per-requisition rates,Accepted and Proposed Start Date <= 2026-09-14,Pending counted as not accepted,proxy: offer on a Cancelled opening -> excluded,Offers.Offered On,trailing 12m to 2026-08-27
71.88,11.5,16,0.12,True,True,requisitions: mean of per-requisition rates,Accepted and Proposed Start Date <= 2026-09-14,Pending counted as not accepted,proxy: offer on a Cancelled opening -> excluded,Applications.Offered On,trailing 12m to 2026-08-27
71.88,11.5,16,0.12,True,True,requisitions: mean of per-requisition rates,Accepted and Proposed Start Date <= 2026-09-14,Pending counted as not accepted,proxy: offer on a Cancelled opening -> excluded,Offers.Offered On,trailing 12m to 2026-09-14
71.88,11.5,16,0.12,True,True,requisitions: mean of per-requisition rates,Accepted and Proposed Start Date <= 2026-09-14,Pending counted as not accepted,proxy: offer on a Cancelled opening -> excluded,Applications.Offered On,trailing 12m to 2026-09-14
72.22,26.0,36,0.22,True,False,offer records,Status = Accepted,Pending counted as not accepted,none (no Rescinded status exists),none (all time),all time
72.22,26.0,36,0.22,True,False,offer records,Status = Accepted,Pending counted as not accepted,none (no Rescinded status exists),Offers.Offered On,trailing 12m to 2026-08-27
72.22,26.0,36,0.22,True,False,offer records,Status = Accepted,Pending counted as not accepted,none (no Rescinded status exists),Applications.Offered On,trailing 12m to 2026-08-27
72.22,26.0,36,0.22,True,False,offer records,Status = Accepted,Pending counted as not accepted,none (no Rescinded status exists),Offers.Offered On,trailing 12m to 2026-09-14
72.22,26.0,36,0.22,True,False,offer records,Status = Accepted,Pending counted as not accepted,none (no Rescinded status exists),Applications.Offered On,trailing 12m to 2026-09-14
72.22,26.0,36,0.22,True,False,offer records,Accepted and Proposed Start Date <= 2026-09-14,Pending counted as accepted,proxy: application carries a Rejection Reason -> not accepted,none (all time),all time
72.22,26.0,36,0.22,True,False,offer records,Accepted and Proposed Start Date <= 2026-09-14,Pending counted as accepted,proxy: application carries a Rejection Reason -> not accepted,Offers.Offered On,trailing 12m to 2026-08-27
72.22,26.0,36,0.22,True,False,offer records,Accepted and Proposed Start Date <= 2026-09-14,Pending counted as accepted,proxy: application carries a Rejection Reason -> not accepted,Applications.Offered On,trailing 12m to 2026-08-27
72.22,26.0,36,0.22,True,False,offer records,Accepted and Proposed Start Date <= 2026-09-14,Pending counted as accepted,proxy: application carries a Rejection Reason -> not accepted,Offers.Offered On,trailing 12m to 2026-09-14
72.22,26.0,36,0.22,True,False,offer records,Accepted and Proposed Start Date <= 2026-09-14,Pending counted as accepted,proxy: application carries a Rejection Reason -> not accepted,Applications.Offered On,trailing 12m to 2026-09-14
72.22,26.0,36,0.22,True,False,"applications: Stage = Hired / Stage in (Hired, Offer)",Applications.Stage = Hired,n/a: Stage cannot separate Pending from Declined,n/a,none (all time),all time
72.22,26.0,36,0.22,True,False,"applications: Stage = Hired / Stage in (Hired, Offer)",Applications.Stage = Hired,n/a: Stage cannot separate Pending from Declined,n/a,Applications.Offered On,trailing 12m to 2026-08-27
72.22,26.0,36,0.22,True,False,"applications: Stage = Hired / Stage in (Hired, Offer)",Applications.Stage = Hired,n/a: Stage cannot separate Pending from Declined,n/a,Applications.Offered On,trailing 12m to 2026-09-14
72.22,26.0,36,0.22,True,False,applications: Stage = Hired / Applications.Offered On present,Applications.Stage = Hired,n/a: Stage cannot separate Pending from Declined,n/a,none (all time),all time
72.22,26.0,36,0.22,True,False,applications: Stage = Hired / Applications.Offered On present,Applications.Stage = Hired,n/a: Stage cannot separate Pending from Declined,n/a,Applications.Offered On,trailing 12m to 2026-08-27
72.22,26.0,36,0.22,True,False,applications: Stage = Hired / Applications.Offered On present,Applications.Stage = Hired,n/a: Stage cannot separate Pending from Declined,n/a,Applications.Offered On,trailing 12m to 2026-09-14
72.22,13.0,18,0.22,True,True,candidates: accepted if any offer accepted,Accepted and Proposed Start Date <= 2026-09-14,Pending excluded,none (no Rescinded status exists),Offers.Offered On,trailing 6m to 2026-09-14
72.22,13.0,18,0.22,True,True,candidates: outcome of latest offer (Offered On),Accepted and Proposed Start Date <= 2026-09-14,Pending excluded,none (no Rescinded status exists),Offers.Offered On,trailing 6m to 2026-09-14
72.22,13.0,18,0.22,True,True,persons (name+phone): accepted if any offer accepted,Accepted and Proposed Start Date <= 2026-09-14,Pending excluded,none (no Rescinded status exists),Offers.Offered On,trailing 6m to 2026-09-14
72.22,13.0,18,0.22,True,True,candidates: accepted if any offer accepted,Accepted and Proposed Start Date <= 2026-09-14,Pending excluded,none (no Rescinded status exists),Applications.Offered On,trailing 6m to 2026-09-14
72.22,13.0,18,0.22,True,True,candidates: outcome of latest offer (Offered On),Accepted and Proposed Start Date <= 2026-09-14,Pending excluded,none (no Rescinded status exists),Applications.Offered On,trailing 6m to 2026-09-14
72.22,13.0,18,0.22,True,True,persons (name+phone): accepted if any offer accepted,Accepted and Proposed Start Date <= 2026-09-14,Pending excluded,none (no Rescinded status exists),Applications.Offered On,trailing 6m to 2026-09-14
72.22,13.0,18,0.22,True,True,offer records,Accepted and Proposed Start Date <= 2026-08-27,Pending excluded,proxy: offer on a Cancelled opening -> excluded,Offers.Offered On,trailing 6m to 2026-08-27
72.22,13.0,18,0.22,True,True,offer records,Accepted and Proposed Start Date <= 2026-08-27,Pending excluded,proxy: offer on a Cancelled opening -> excluded,Applications.Offered On,trailing 6m to 2026-08-27
72.22,13.0,18,0.22,True,True,offer records,Accepted and Proposed Start Date <= 2026-08-27,Pending excluded,proxy: offer on a Cancelled opening -> excluded,Offers.Decision On,trailing 6m to 2026-08-27
72.22,13.0,18,0.22,True,True,offer records,Accepted and Proposed Start Date <= 2026-08-27,Pending excluded,proxy: offer on a Cancelled opening -> excluded,Offers.Offered On,trailing 6m to 2026-09-14
72.22,13.0,18,0.22,True,True,offer records,Accepted and Proposed Start Date <= 2026-08-27,Pending excluded,proxy: offer on a Cancelled opening -> excluded,Applications.Offered On,trailing 6m to 2026-09-14
72.22,13.0,18,0.22,True,True,offer records,Accepted and Proposed Start Date <= 2026-08-27,Pending excluded,proxy: offer on a Cancelled opening -> excluded,Offers.Decision On,trailing 6m to 2026-09-14
72.22,13.0,18,0.22,True,True,candidates: accepted if any offer accepted,Accepted and Proposed Start Date <= 2026-09-14,Pending excluded,proxy: offer on a Cancelled opening -> not accepted,Offers.Offered On,trailing 6m to 2026-09-14
72.22,13.0,18,0.22,True,True,candidates: outcome of latest offer (Offered On),Accepted and Proposed Start Date <= 2026-09-14,Pending excluded,proxy: offer on a Cancelled opening -> not accepted,Offers.Offered On,trailing 6m to 2026-09-14
72.22,13.0,18,0.22,True,True,persons (name+phone): accepted if any offer accepted,Accepted and Proposed Start Date <= 2026-09-14,Pending excluded,proxy: offer on a Cancelled opening -> not accepted,Offers.Offered On,trailing 6m to 2026-09-14
72.22,13.0,18,0.22,True,True,candidates: accepted if any offer accepted,Accepted and Proposed Start Date <= 2026-09-14,Pending excluded,proxy: offer on a Cancelled opening -> not accepted,Applications.Offered On,trailing 6m to 2026-09-14
72.22,13.0,18,0.22,True,True,candidates: outcome of latest offer (Offered On),Accepted and Proposed Start Date <= 2026-09-14,Pending excluded,proxy: offer on a Cancelled opening -> not accepted,Applications.Offered On,trailing 6m to 2026-09-14
72.22,13.0,18,0.22,True,True,persons (name+phone): accepted if any offer accepted,Accepted and Proposed Start Date <= 2026-09-14,Pending excluded,proxy: offer on a Cancelled opening -> not accepted,Applications.Offered On,trailing 6m to 2026-09-14
72.22,13.0,18,0.22,True,True,candidates: accepted if any offer accepted,Accepted and Proposed Start Date <= 2026-09-14,Pending excluded,proxy: application carries a Rejection Reason -> excluded,Offers.Offered On,trailing 6m to 2026-09-14
72.22,13.0,18,0.22,True,True,candidates: outcome of latest offer (Offered On),Accepted and Proposed Start Date <= 2026-09-14,Pending excluded,proxy: application carries a Rejection Reason -> excluded,Offers.Offered On,trailing 6m to 2026-09-14
72.22,13.0,18,0.22,True,True,persons (name+phone): accepted if any offer accepted,Accepted and Proposed Start Date <= 2026-09-14,Pending excluded,proxy: application carries a Rejection Reason -> excluded,Offers.Offered On,trailing 6m to 2026-09-14
72.22,13.0,18,0.22,True,True,candidates: accepted if any offer accepted,Accepted and Proposed Start Date <= 2026-09-14,Pending excluded,proxy: application carries a Rejection Reason -> excluded,Applications.Offered On,trailing 6m to 2026-09-14
72.22,13.0,18,0.22,True,True,candidates: outcome of latest offer (Offered On),Accepted and Proposed Start Date <= 2026-09-14,Pending excluded,proxy: application carries a Rejection Reason -> excluded,Applications.Offered On,trailing 6m to 2026-09-14
72.22,13.0,18,0.22,True,True,persons (name+phone): accepted if any offer accepted,Accepted and Proposed Start Date <= 2026-09-14,Pending excluded,proxy: application carries a Rejection Reason -> excluded,Applications.Offered On,trailing 6m to 2026-09-14
72.22,13.0,18,0.22,True,True,candidates: accepted if any offer accepted,Accepted and Proposed Start Date <= 2026-09-14,Pending excluded,proxy: application carries a Rejection Reason -> not accepted,Offers.Offered On,trailing 6m to 2026-09-14
72.22,13.0,18,0.22,True,True,candidates: outcome of latest offer (Offered On),Accepted and Proposed Start Date <= 2026-09-14,Pending excluded,proxy: application carries a Rejection Reason -> not accepted,Offers.Offered On,trailing 6m to 2026-09-14
72.22,13.0,18,0.22,True,True,persons (name+phone): accepted if any offer accepted,Accepted and Proposed Start Date <= 2026-09-14,Pending excluded,proxy: application carries a Rejection Reason -> not accepted,Offers.Offered On,trailing 6m to 2026-09-14
72.22,13.0,18,0.22,True,True,candidates: accepted if any offer accepted,Accepted and Proposed Start Date <= 2026-09-14,Pending excluded,proxy: application carries a Rejection Reason -> not accepted,Applications.Offered On,trailing 6m to 2026-09-14
72.22,13.0,18,0.22,True,True,candidates: outcome of latest offer (Offered On),Accepted and Proposed Start Date <= 2026-09-14,Pending excluded,proxy: application carries a Rejection Reason -> not accepted,Applications.Offered On,trailing 6m to 2026-09-14
72.22,13.0,18,0.22,True,True,persons (name+phone): accepted if any offer accepted,Accepted and Proposed Start Date <= 2026-09-14,Pending excluded,proxy: application carries a Rejection Reason -> not accepted,Applications.Offered On,trailing 6m to 2026-09-14
72.22,6.5,9,0.22,True,True,requisitions: mean of per-requisition rates,Accepted and Proposed Start Date <= 2026-08-27,Pending excluded,none (no Rescinded status exists),Offers.Decision On,trailing 3m to 2026-09-14
72.22,6.5,9,0.22,True,True,requisitions: mean of per-requisition rates,Accepted and Proposed Start Date <= 2026-08-27,Pending excluded,proxy: offer on a Cancelled opening -> excluded,Offers.Decision On,trailing 3m to 2026-09-14
72.22,6.5,9,0.22,True,True,requisitions: mean of per-requisition rates,Accepted and Proposed Start Date <= 2026-08-27,Pending excluded,proxy: offer on a Cancelled opening -> not accepted,Offers.Decision On,trailing 3m to 2026-09-14
72.22,6.5,9,0.22,True,True,requisitions: mean of per-requisition rates,Accepted and Proposed Start Date <= 2026-08-27,Pending excluded,proxy: application carries a Rejection Reason -> excluded,Offers.Decision On,trailing 3m to 2026-09-14
72.22,6.5,9,0.22,True,True,requisitions: mean of per-requisition rates,Accepted and Proposed Start Date <= 2026-08-27,Pending excluded,proxy: application carries a Rejection Reason -> not accepted,Offers.Decision On,trailing 3m to 2026-09-14
71.77,9.33,13,0.23,True,True,requisitions: mean of per-requisition rates,Status = Accepted,Pending counted as not accepted,none (no Rescinded status exists),Offers.Decision On,trailing 6m to 2026-08-27
71.77,9.33,13,0.23,True,True,requisitions: mean of per-requisition rates,Status = Accepted,Pending counted as not accepted,none (no Rescinded status exists),Offers.Decision On,trailing 6m to 2026-09-14
71.77,9.33,13,0.23,True,True,requisitions: mean of per-requisition rates,Status = Accepted,Pending counted as not accepted,proxy: application carries a Rejection Reason -> excluded,Offers.Decision On,trailing 6m to 2026-08-27
71.77,9.33,13,0.23,True,True,requisitions: mean of per-requisition rates,Status = Accepted,Pending counted as not accepted,proxy: application carries a Rejection Reason -> excluded,Offers.Decision On,trailing 6m to 2026-09-14
71.77,9.33,13,0.23,True,True,requisitions: mean of per-requisition rates,Status = Accepted,Pending counted as not accepted,proxy: application carries a Rejection Reason -> not accepted,Offers.Decision On,trailing 6m to 2026-08-27
71.77,9.33,13,0.23,True,True,requisitions: mean of per-requisition rates,Status = Accepted,Pending counted as not accepted,proxy: application carries a Rejection Reason -> not accepted,Offers.Decision On,trailing 6m to 2026-09-14
71.77,9.33,13,0.23,True,True,requisitions: mean of per-requisition rates,Status = Accepted,Pending with a Decision On counted as not accepted; other Pending excluded,none (no Rescinded status exists),Offers.Offered On,trailing 6m to 2026-08-27
71.77,9.33,13,0.23,True,True,requisitions: mean of per-requisition rates,Status = Accepted,Pending with a Decision On counted as not accepted; other Pending excluded,none (no Rescinded status exists),Applications.Offered On,trailing 6m to 2026-08-27
71.77,9.33,13,0.23,True,True,requisitions: mean of per-requisition rates,Status = Accepted,Pending with a Decision On counted as not accepted; other Pending excluded,none (no Rescinded status exists),Offers.Decision On,trailing 6m to 2026-08-27
71.77,9.33,13,0.23,True,True,requisitions: mean of per-requisition rates,Status = Accepted,Pending with a Decision On counted as not accepted; other Pending excluded,none (no Rescinded status exists),Offers.Decision On,trailing 6m to 2026-09-14
71.77,9.33,13,0.23,True,True,requisitions: mean of per-requisition rates,Status = Accepted,Pending with a Decision On counted as not accepted; other Pending excluded,proxy: application carries a Rejection Reason -> excluded,Offers.Offered On,trailing 6m to 2026-08-27
71.77,9.33,13,0.23,True,True,requisitions: mean of per-requisition rates,Status = Accepted,Pending with a Decision On counted as not accepted; other Pending excluded,proxy: application carries a Rejection Reason -> excluded,Applications.Offered On,trailing 6m to 2026-08-27
71.77,9.33,13,0.23,True,True,requisitions: mean of per-requisition rates,Status = Accepted,Pending with a Decision On counted as not accepted; other Pending excluded,proxy: application carries a Rejection Reason -> excluded,Offers.Decision On,trailing 6m to 2026-08-27
71.77,9.33,13,0.23,True,True,requisitions: mean of per-requisition rates,Status = Accepted,Pending with a Decision On counted as not accepted; other Pending excluded,proxy: application carries a Rejection Reason -> excluded,Offers.Decision On,trailing 6m to 2026-09-14
71.77,9.33,13,0.23,True,True,requisitions: mean of per-requisition rates,Status = Accepted,Pending with a Decision On counted as not accepted; other Pending excluded,proxy: application carries a Rejection Reason -> not accepted,Offers.Offered On,trailing 6m to 2026-08-27
71.77,9.33,13,0.23,True,True,requisitions: mean of per-requisition rates,Status = Accepted,Pending with a Decision On counted as not accepted; other Pending excluded,proxy: application carries a Rejection Reason -> not accepted,Applications.Offered On,trailing 6m to 2026-08-27
