pct,numerator,denominator,abs_diff_pp,reproduces,small_n,event,window,date_basis,unit,attribution,channel
27.27,3,11,0.37,False,True,hired: Applications.Stage = Hired,trailing 3m to 2026-09-14,Offers.Decision On,distinct candidate+opening,Candidates.Source as recorded,bucket: Job Board + LinkedIn
27.27,3,11,0.37,False,True,hired: Applications.Stage = Hired,trailing 3m to 2026-09-14,Offers.Decision On,distinct candidate+opening,Applications.Referred By overrides Source,bucket: Job Board + LinkedIn
27.27,3,11,0.37,False,True,hired: Applications.Stage = Hired,trailing 3m to 2026-09-14,Offers.Decision On,distinct candidate record,Candidates.Source as recorded,bucket: Job Board + LinkedIn
27.27,3,11,0.37,False,True,hired: Applications.Stage = Hired,trailing 3m to 2026-09-14,Offers.Decision On,distinct candidate record,Applications.Referred By overrides Source,bucket: Job Board + LinkedIn
27.27,3,11,0.37,False,True,hired: Applications.Stage = Hired,trailing 3m to 2026-09-14,Offers.Decision On,distinct person (name+phone),Candidates.Source as recorded,bucket: Job Board + LinkedIn
27.27,3,11,0.37,False,True,hired: Applications.Stage = Hired,trailing 3m to 2026-09-14,Offers.Decision On,distinct person (name+phone),Applications.Referred By overrides Source,bucket: Job Board + LinkedIn
27.27,3,11,0.37,False,True,offer accepted: Offers.Status = Accepted,trailing 3m to 2026-09-14,Offers.Decision On,application rows,Candidates.Source as recorded,bucket: Job Board + LinkedIn
27.27,3,11,0.37,False,True,offer accepted: Offers.Status = Accepted,trailing 3m to 2026-09-14,Offers.Decision On,application rows,Applications.Referred By overrides Source,bucket: Job Board + LinkedIn
27.27,3,11,0.37,False,True,offer accepted: Offers.Status = Accepted,trailing 3m to 2026-09-14,Offers.Decision On,distinct candidate+opening,Candidates.Source as recorded,bucket: Job Board + LinkedIn
27.27,3,11,0.37,False,True,offer accepted: Offers.Status = Accepted,trailing 3m to 2026-09-14,Offers.Decision On,distinct candidate+opening,Applications.Referred By overrides Source,bucket: Job Board + LinkedIn
27.27,3,11,0.37,False,True,offer accepted: Offers.Status = Accepted,trailing 3m to 2026-09-14,Offers.Decision On,distinct candidate record,Candidates.Source as recorded,bucket: Job Board + LinkedIn
27.27,3,11,0.37,False,True,offer accepted: Offers.Status = Accepted,trailing 3m to 2026-09-14,Offers.Decision On,distinct candidate record,Applications.Referred By overrides Source,bucket: Job Board + LinkedIn
27.27,3,11,0.37,False,True,offer accepted: Offers.Status = Accepted,trailing 3m to 2026-09-14,Offers.Decision On,distinct person (name+phone),Candidates.Source as recorded,bucket: Job Board + LinkedIn
27.27,3,11,0.37,False,True,offer accepted: Offers.Status = Accepted,trailing 3m to 2026-09-14,Offers.Decision On,distinct person (name+phone),Applications.Referred By overrides Source,bucket: Job Board + LinkedIn
27.27,3,11,0.37,False,True,offer extended: any Offer record,trailing 3m to 2026-09-14,Offers.Offered On,application rows,Candidates.Source as recorded,bucket: Job Board + LinkedIn
27.27,3,11,0.37,False,True,offer extended: any Offer record,trailing 3m to 2026-09-14,Offers.Offered On,application rows,Applications.Referred By overrides Source,bucket: Job Board + LinkedIn
27.27,3,11,0.37,False,True,offer extended: any Offer record,trailing 3m to 2026-09-14,Offers.Offered On,distinct candidate+opening,Candidates.Source as recorded,bucket: Job Board + LinkedIn
27.27,3,11,0.37,False,True,offer extended: any Offer record,trailing 3m to 2026-09-14,Offers.Offered On,distinct candidate+opening,Applications.Referred By overrides Source,bucket: Job Board + LinkedIn
27.27,3,11,0.37,False,True,offer extended: any Offer record,trailing 3m to 2026-09-14,Offers.Offered On,distinct candidate record,Candidates.Source as recorded,bucket: Job Board + LinkedIn
27.27,3,11,0.37,False,True,offer extended: any Offer record,trailing 3m to 2026-09-14,Offers.Offered On,distinct candidate record,Applications.Referred By overrides Source,bucket: Job Board + LinkedIn
27.27,3,11,0.37,False,True,offer extended: any Offer record,trailing 3m to 2026-09-14,Offers.Offered On,distinct person (name+phone),Candidates.Source as recorded,bucket: Job Board + LinkedIn
27.27,3,11,0.37,False,True,offer extended: any Offer record,trailing 3m to 2026-09-14,Offers.Offered On,distinct person (name+phone),Applications.Referred By overrides Source,bucket: Job Board + LinkedIn
26.09,6,23,0.81,False,True,hired: Applications.Stage = Hired,trailing 12m to 2026-08-27,Offers.Proposed Start Date,distinct candidate record,Applications.Referred By overrides Source,raw Source = Job Board
26.09,6,23,0.81,False,True,hired: Applications.Stage = Hired,trailing 12m to 2026-09-14,Applications.Applied On,distinct candidate record,Candidates.Source as recorded,raw Source = Job Board
26.09,6,23,0.81,False,True,hired: Applications.Stage = Hired,trailing 12m to 2026-09-14,Applications.Applied On,distinct person (name+phone),Applications.Referred By overrides Source,raw Source = Job Board
26.09,6,23,0.81,False,True,hired: Applications.Stage = Hired,trailing 12m to 2026-09-14,Offers.Proposed Start Date,distinct candidate record,Applications.Referred By overrides Source,raw Source = Job Board
26.09,6,23,0.81,False,True,offer accepted: Offers.Status = Accepted,trailing 12m to 2026-08-27,Offers.Proposed Start Date,distinct candidate record,Applications.Referred By overrides Source,raw Source = Job Board
26.09,6,23,0.81,False,True,offer accepted: Offers.Status = Accepted,trailing 12m to 2026-09-14,Offers.Proposed Start Date,distinct candidate record,Applications.Referred By overrides Source,raw Source = Job Board
26.09,6,23,0.81,False,True,hire started: Accepted and Proposed Start Date <= 2026-08-27,all time,none (all time),distinct candidate record,Applications.Referred By overrides Source,raw Source = Job Board
26.09,6,23,0.81,False,True,hire started: Accepted and Proposed Start Date <= 2026-08-27,trailing 12m to 2026-08-27,Offers.Proposed Start Date,distinct candidate record,Applications.Referred By overrides Source,raw Source = Job Board
26.09,6,23,0.81,False,True,hire started: Accepted and Proposed Start Date <= 2026-08-27,trailing 12m to 2026-09-14,Offers.Proposed Start Date,distinct candidate record,Applications.Referred By overrides Source,raw Source = Job Board
26.09,6,23,0.81,False,True,hire started: Accepted and Proposed Start Date <= 2026-09-14,all time,none (all time),distinct candidate record,Applications.Referred By overrides Source,raw Source = Job Board
26.09,6,23,0.81,False,True,hire started: Accepted and Proposed Start Date <= 2026-09-14,trailing 12m to 2026-08-27,Offers.Proposed Start Date,distinct candidate record,Applications.Referred By overrides Source,raw Source = Job Board
26.09,6,23,0.81,False,True,hire started: Accepted and Proposed Start Date <= 2026-09-14,trailing 12m to 2026-09-14,Offers.Proposed Start Date,distinct candidate record,Applications.Referred By overrides Source,raw Source = Job Board
27.78,5,18,0.88,False,True,hired: Applications.Stage = Hired,2026 YTD to 2026-09-14,Applications.Applied On,application rows,Candidates.Source as recorded,bucket: Job Board + LinkedIn
27.78,5,18,0.88,False,True,hired: Applications.Stage = Hired,2026 YTD to 2026-09-14,Applications.Applied On,application rows,Applications.Referred By overrides Source,bucket: Job Board + LinkedIn
28.0,7,25,1.1,False,True,hired: Applications.Stage = Hired,all time,none (all time),distinct candidate+opening,Candidates.Source as recorded,raw Source = Job Board
28.0,7,25,1.1,False,True,hired: Applications.Stage = Hired,trailing 12m to 2026-08-27,Applications.Closed On,distinct candidate+opening,Candidates.Source as recorded,raw Source = Job Board
28.0,7,25,1.1,False,True,hired: Applications.Stage = Hired,trailing 12m to 2026-08-27,Applications.Applied On,distinct candidate+opening,Candidates.Source as recorded,raw Source = Job Board
28.0,7,25,1.1,False,True,hired: Applications.Stage = Hired,trailing 12m to 2026-08-27,Offers.Decision On,distinct candidate+opening,Candidates.Source as recorded,raw Source = Job Board
28.0,7,25,1.1,False,True,hired: Applications.Stage = Hired,trailing 12m to 2026-09-14,Applications.Closed On,distinct candidate+opening,Candidates.Source as recorded,raw Source = Job Board
28.0,7,25,1.1,False,True,hired: Applications.Stage = Hired,trailing 12m to 2026-09-14,Offers.Decision On,distinct candidate+opening,Candidates.Source as recorded,raw Source = Job Board
28.0,7,25,1.1,False,True,hired: Applications.Stage = Hired,trailing 12m to 2026-09-14,Offers.Proposed Start Date,application rows,Candidates.Source as recorded,raw Source = Job Board
28.0,7,25,1.1,False,True,offer accepted: Offers.Status = Accepted,all time,none (all time),distinct candidate+opening,Candidates.Source as recorded,raw Source = Job Board
28.0,7,25,1.1,False,True,offer accepted: Offers.Status = Accepted,trailing 12m to 2026-08-27,Offers.Decision On,distinct candidate+opening,Candidates.Source as recorded,raw Source = Job Board
28.0,7,25,1.1,False,True,offer accepted: Offers.Status = Accepted,trailing 12m to 2026-08-27,Offers.Offered On,distinct candidate+opening,Candidates.Source as recorded,raw Source = Job Board
28.0,7,25,1.1,False,True,offer accepted: Offers.Status = Accepted,trailing 12m to 2026-09-14,Offers.Decision On,distinct candidate+opening,Candidates.Source as recorded,raw Source = Job Board
28.0,7,25,1.1,False,True,offer accepted: Offers.Status = Accepted,trailing 12m to 2026-09-14,Offers.Offered On,distinct candidate+opening,Candidates.Source as recorded,raw Source = Job Board
28.0,7,25,1.1,False,True,offer accepted: Offers.Status = Accepted,trailing 12m to 2026-09-14,Offers.Proposed Start Date,application rows,Candidates.Source as recorded,raw Source = Job Board
28.0,7,25,1.1,False,True,hire started: Accepted and Proposed Start Date <= 2026-09-14,all time,none (all time),application rows,Candidates.Source as recorded,raw Source = Job Board
28.0,7,25,1.1,False,True,hire started: Accepted and Proposed Start Date <= 2026-09-14,trailing 12m to 2026-09-14,Offers.Proposed Start Date,application rows,Candidates.Source as recorded,raw Source = Job Board
28.57,2,7,1.67,False,True,hire on a Filled opening: Stage = Hired and Opening.Status = Filled,trailing 3m to 2026-09-14,Applications.Closed On,application rows,Candidates.Source as recorded,bucket: Job Board + LinkedIn
28.57,2,7,1.67,False,True,hire on a Filled opening: Stage = Hired and Opening.Status = Filled,trailing 3m to 2026-09-14,Applications.Closed On,application rows,Applications.Referred By overrides Source,bucket: Job Board + LinkedIn
28.57,2,7,1.67,False,True,hire on a Filled opening: Stage = Hired and Opening.Status = Filled,trailing 3m to 2026-09-14,Applications.Closed On,distinct candidate+opening,Candidates.Source as recorded,bucket: Job Board + LinkedIn
28.57,2,7,1.67,False,True,hire on a Filled opening: Stage = Hired and Opening.Status = Filled,trailing 3m to 2026-09-14,Applications.Closed On,distinct candidate+opening,Applications.Referred By overrides Source,bucket: Job Board + LinkedIn
28.57,2,7,1.67,False,True,hire on a Filled opening: Stage = Hired and Opening.Status = Filled,trailing 3m to 2026-09-14,Applications.Closed On,distinct candidate record,Candidates.Source as recorded,bucket: Job Board + LinkedIn
28.57,2,7,1.67,False,True,hire on a Filled opening: Stage = Hired and Opening.Status = Filled,trailing 3m to 2026-09-14,Applications.Closed On,distinct candidate record,Applications.Referred By overrides Source,bucket: Job Board + LinkedIn
28.57,2,7,1.67,False,True,hire on a Filled opening: Stage = Hired and Opening.Status = Filled,trailing 3m to 2026-09-14,Applications.Closed On,distinct person (name+phone),Candidates.Source as recorded,bucket: Job Board + LinkedIn
28.57,2,7,1.67,False,True,hire on a Filled opening: Stage = Hired and Opening.Status = Filled,trailing 3m to 2026-09-14,Applications.Closed On,distinct person (name+phone),Applications.Referred By overrides Source,bucket: Job Board + LinkedIn
25.0,6,24,1.9,False,True,hired: Applications.Stage = Hired,all time,none (all time),distinct candidate record,Applications.Referred By overrides Source,raw Source = Job Board
25.0,6,24,1.9,False,True,hired: Applications.Stage = Hired,trailing 12m to 2026-08-27,Applications.Closed On,distinct candidate record,Applications.Referred By overrides Source,raw Source = Job Board
25.0,6,24,1.9,False,True,hired: Applications.Stage = Hired,trailing 12m to 2026-08-27,Applications.Applied On,distinct candidate record,Applications.Referred By overrides Source,raw Source = Job Board
25.0,6,24,1.9,False,True,hired: Applications.Stage = Hired,trailing 12m to 2026-08-27,Offers.Decision On,distinct candidate record,Applications.Referred By overrides Source,raw Source = Job Board
25.0,6,24,1.9,False,True,hired: Applications.Stage = Hired,trailing 12m to 2026-08-27,Offers.Proposed Start Date,application rows,Applications.Referred By overrides Source,raw Source = Job Board
25.0,6,24,1.9,False,True,hired: Applications.Stage = Hired,trailing 12m to 2026-08-27,Offers.Proposed Start Date,distinct candidate+opening,Applications.Referred By overrides Source,raw Source = Job Board
25.0,6,24,1.9,False,True,hired: Applications.Stage = Hired,trailing 12m to 2026-09-14,Applications.Closed On,distinct candidate record,Applications.Referred By overrides Source,raw Source = Job Board
25.0,6,24,1.9,False,True,hired: Applications.Stage = Hired,trailing 12m to 2026-09-14,Applications.Applied On,distinct candidate+opening,Candidates.Source as recorded,raw Source = Job Board
25.0,6,24,1.9,False,True,hired: Applications.Stage = Hired,trailing 12m to 2026-09-14,Offers.Decision On,distinct candidate record,Applications.Referred By overrides Source,raw Source = Job Board
25.0,6,24,1.9,False,True,hired: Applications.Stage = Hired,trailing 12m to 2026-09-14,Offers.Proposed Start Date,distinct candidate+opening,Applications.Referred By overrides Source,raw Source = Job Board
25.0,6,24,1.9,False,True,offer accepted: Offers.Status = Accepted,all time,none (all time),distinct candidate record,Applications.Referred By overrides Source,raw Source = Job Board
25.0,6,24,1.9,False,True,offer accepted: Offers.Status = Accepted,trailing 12m to 2026-08-27,Offers.Decision On,distinct candidate record,Applications.Referred By overrides Source,raw Source = Job Board
25.0,6,24,1.9,False,True,offer accepted: Offers.Status = Accepted,trailing 12m to 2026-08-27,Offers.Offered On,distinct candidate record,Applications.Referred By overrides Source,raw Source = Job Board
25.0,6,24,1.9,False,True,offer accepted: Offers.Status = Accepted,trailing 12m to 2026-08-27,Offers.Proposed Start Date,application rows,Applications.Referred By overrides Source,raw Source = Job Board
25.0,6,24,1.9,False,True,offer accepted: Offers.Status = Accepted,trailing 12m to 2026-08-27,Offers.Proposed Start Date,distinct candidate+opening,Applications.Referred By overrides Source,raw Source = Job Board
25.0,6,24,1.9,False,True,offer accepted: Offers.Status = Accepted,trailing 12m to 2026-09-14,Offers.Decision On,distinct candidate record,Applications.Referred By overrides Source,raw Source = Job Board
25.0,6,24,1.9,False,True,offer accepted: Offers.Status = Accepted,trailing 12m to 2026-09-14,Offers.Offered On,distinct candidate record,Applications.Referred By overrides Source,raw Source = Job Board
25.0,6,24,1.9,False,True,offer accepted: Offers.Status = Accepted,trailing 12m to 2026-09-14,Offers.Proposed Start Date,distinct candidate+opening,Applications.Referred By overrides Source,raw Source = Job Board
25.0,6,24,1.9,False,True,hire started: Accepted and Proposed Start Date <= 2026-08-27,all time,none (all time),application rows,Applications.Referred By overrides Source,raw Source = Job Board
25.0,6,24,1.9,False,True,hire started: Accepted and Proposed Start Date <= 2026-08-27,all time,none (all time),distinct candidate+opening,Applications.Referred By overrides Source,raw Source = Job Board
25.0,6,24,1.9,False,True,hire started: Accepted and Proposed Start Date <= 2026-08-27,trailing 12m to 2026-08-27,Offers.Proposed Start Date,application rows,Applications.Referred By overrides Source,raw Source = Job Board
25.0,6,24,1.9,False,True,hire started: Accepted and Proposed Start Date <= 2026-08-27,trailing 12m to 2026-08-27,Offers.Proposed Start Date,distinct candidate+opening,Applications.Referred By overrides Source,raw Source = Job Board
25.0,6,24,1.9,False,True,hire started: Accepted and Proposed Start Date <= 2026-08-27,trailing 12m to 2026-09-14,Offers.Proposed Start Date,application rows,Applications.Referred By overrides Source,raw Source = Job Board
25.0,6,24,1.9,False,True,hire started: Accepted and Proposed Start Date <= 2026-08-27,trailing 12m to 2026-09-14,Offers.Proposed Start Date,distinct candidate+opening,Applications.Referred By overrides Source,raw Source = Job Board
25.0,6,24,1.9,False,True,hire started: Accepted and Proposed Start Date <= 2026-09-14,all time,none (all time),distinct candidate+opening,Applications.Referred By overrides Source,raw Source = Job Board
25.0,6,24,1.9,False,True,hire started: Accepted and Proposed Start Date <= 2026-09-14,trailing 12m to 2026-08-27,Offers.Proposed Start Date,application rows,Applications.Referred By overrides Source,raw Source = Job Board
25.0,6,24,1.9,False,True,hire started: Accepted and Proposed Start Date <= 2026-09-14,trailing 12m to 2026-08-27,Offers.Proposed Start Date,distinct candidate+opening,Applications.Referred By overrides Source,raw Source = Job Board
25.0,6,24,1.9,False,True,hire started: Accepted and Proposed Start Date <= 2026-09-14,trailing 12m to 2026-09-14,Offers.Proposed Start Date,distinct candidate+opening,Applications.Referred By overrides Source,raw Source = Job Board
25.0,3,12,1.9,False,True,hired: Applications.Stage = Hired,trailing 3m to 2026-08-27,Applications.Closed On,application rows,Candidates.Source as recorded,bucket: Job Board + LinkedIn
25.0,3,12,1.9,False,True,hired: Applications.Stage = Hired,trailing 3m to 2026-08-27,Applications.Closed On,application rows,Applications.Referred By overrides Source,bucket: Job Board + LinkedIn
25.0,3,12,1.9,False,True,hired: Applications.Stage = Hired,trailing 3m to 2026-08-27,Applications.Closed On,distinct candidate+opening,Candidates.Source as recorded,bucket: Job Board + LinkedIn
25.0,3,12,1.9,False,True,hired: Applications.Stage = Hired,trailing 3m to 2026-08-27,Applications.Closed On,distinct candidate+opening,Applications.Referred By overrides Source,bucket: Job Board + LinkedIn
25.0,3,12,1.9,False,True,hired: Applications.Stage = Hired,trailing 3m to 2026-08-27,Applications.Closed On,distinct candidate record,Candidates.Source as recorded,bucket: Job Board + LinkedIn
25.0,3,12,1.9,False,True,hired: Applications.Stage = Hired,trailing 3m to 2026-08-27,Applications.Closed On,distinct candidate record,Applications.Referred By overrides Source,bucket: Job Board + LinkedIn
25.0,3,12,1.9,False,True,hired: Applications.Stage = Hired,trailing 3m to 2026-08-27,Applications.Closed On,distinct person (name+phone),Candidates.Source as recorded,bucket: Job Board + LinkedIn
25.0,3,12,1.9,False,True,hired: Applications.Stage = Hired,trailing 3m to 2026-08-27,Applications.Closed On,distinct person (name+phone),Applications.Referred By overrides Source,bucket: Job Board + LinkedIn
25.0,3,12,1.9,False,True,hired: Applications.Stage = Hired,trailing 3m to 2026-08-27,Offers.Decision On,application rows,Candidates.Source as recorded,bucket: Job Board + LinkedIn
25.0,3,12,1.9,False,True,hired: Applications.Stage = Hired,trailing 3m to 2026-08-27,Offers.Decision On,application rows,Applications.Referred By overrides Source,bucket: Job Board + LinkedIn
25.0,3,12,1.9,False,True,hired: Applications.Stage = Hired,trailing 3m to 2026-08-27,Offers.Decision On,distinct candidate+opening,Candidates.Source as recorded,bucket: Job Board + LinkedIn
25.0,3,12,1.9,False,True,hired: Applications.Stage = Hired,trailing 3m to 2026-08-27,Offers.Decision On,distinct candidate+opening,Applications.Referred By overrides Source,bucket: Job Board + LinkedIn
25.0,3,12,1.9,False,True,hired: Applications.Stage = Hired,trailing 3m to 2026-08-27,Offers.Decision On,distinct candidate record,Candidates.Source as recorded,bucket: Job Board + LinkedIn
25.0,3,12,1.9,False,True,hired: Applications.Stage = Hired,trailing 3m to 2026-08-27,Offers.Decision On,distinct candidate record,Applications.Referred By overrides Source,bucket: Job Board + LinkedIn
25.0,3,12,1.9,False,True,hired: Applications.Stage = Hired,trailing 3m to 2026-08-27,Offers.Decision On,distinct person (name+phone),Candidates.Source as recorded,bucket: Job Board + LinkedIn
25.0,3,12,1.9,False,True,hired: Applications.Stage = Hired,trailing 3m to 2026-08-27,Offers.Decision On,distinct person (name+phone),Applications.Referred By overrides Source,bucket: Job Board + LinkedIn
25.0,3,12,1.9,False,True,offer accepted: Offers.Status = Accepted,trailing 3m to 2026-08-27,Offers.Decision On,application rows,Candidates.Source as recorded,bucket: Job Board + LinkedIn
25.0,3,12,1.9,False,True,offer accepted: Offers.Status = Accepted,trailing 3m to 2026-08-27,Offers.Decision On,application rows,Applications.Referred By overrides Source,bucket: Job Board + LinkedIn
25.0,3,12,1.9,False,True,offer accepted: Offers.Status = Accepted,trailing 3m to 2026-08-27,Offers.Decision On,distinct candidate+opening,Candidates.Source as recorded,bucket: Job Board + LinkedIn
25.0,3,12,1.9,False,True,offer accepted: Offers.Status = Accepted,trailing 3m to 2026-08-27,Offers.Decision On,distinct candidate+opening,Applications.Referred By overrides Source,bucket: Job Board + LinkedIn
25.0,3,12,1.9,False,True,offer accepted: Offers.Status = Accepted,trailing 3m to 2026-08-27,Offers.Decision On,distinct candidate record,Candidates.Source as recorded,bucket: Job Board + LinkedIn
25.0,3,12,1.9,False,True,offer accepted: Offers.Status = Accepted,trailing 3m to 2026-08-27,Offers.Decision On,distinct candidate record,Applications.Referred By overrides Source,bucket: Job Board + LinkedIn
25.0,3,12,1.9,False,True,offer accepted: Offers.Status = Accepted,trailing 3m to 2026-08-27,Offers.Decision On,distinct person (name+phone),Candidates.Source as recorded,bucket: Job Board + LinkedIn
25.0,3,12,1.9,False,True,offer accepted: Offers.Status = Accepted,trailing 3m to 2026-08-27,Offers.Decision On,distinct person (name+phone),Applications.Referred By overrides Source,bucket: Job Board + LinkedIn
25.0,3,12,1.9,False,True,offer accepted: Offers.Status = Accepted,trailing 3m to 2026-08-27,Offers.Offered On,application rows,Candidates.Source as recorded,bucket: Job Board + LinkedIn
25.0,3,12,1.9,False,True,offer accepted: Offers.Status = Accepted,trailing 3m to 2026-08-27,Offers.Offered On,application rows,Applications.Referred By overrides Source,bucket: Job Board + LinkedIn
25.0,3,12,1.9,False,True,offer accepted: Offers.Status = Accepted,trailing 3m to 2026-08-27,Offers.Offered On,distinct candidate+opening,Candidates.Source as recorded,bucket: Job Board + LinkedIn
25.0,3,12,1.9,False,True,offer accepted: Offers.Status = Accepted,trailing 3m to 2026-08-27,Offers.Offered On,distinct candidate+opening,Applications.Referred By overrides Source,bucket: Job Board + LinkedIn
25.0,3,12,1.9,False,True,offer accepted: Offers.Status = Accepted,trailing 3m to 2026-08-27,Offers.Offered On,distinct candidate record,Candidates.Source as recorded,bucket: Job Board + LinkedIn
25.0,3,12,1.9,False,True,offer accepted: Offers.Status = Accepted,trailing 3m to 2026-08-27,Offers.Offered On,distinct candidate record,Applications.Referred By overrides Source,bucket: Job Board + LinkedIn
25.0,3,12,1.9,False,True,offer accepted: Offers.Status = Accepted,trailing 3m to 2026-08-27,Offers.Offered On,distinct person (name+phone),Candidates.Source as recorded,bucket: Job Board + LinkedIn
25.0,3,12,1.9,False,True,offer accepted: Offers.Status = Accepted,trailing 3m to 2026-08-27,Offers.Offered On,distinct person (name+phone),Applications.Referred By overrides Source,bucket: Job Board + LinkedIn
25.0,2,8,1.9,False,True,offer accepted: Offers.Status = Accepted,trailing 3m to 2026-09-14,Offers.Offered On,application rows,Candidates.Source as recorded,bucket: Job Board + LinkedIn + Career Site
25.0,2,8,1.9,False,True,offer accepted: Offers.Status = Accepted,trailing 3m to 2026-09-14,Offers.Offered On,application rows,Applications.Referred By overrides Source,bucket: Job Board + LinkedIn + Career Site
25.0,2,8,1.9,False,True,offer accepted: Offers.Status = Accepted,trailing 3m to 2026-09-14,Offers.Offered On,distinct candidate+opening,Candidates.Source as recorded,bucket: Job Board + LinkedIn + Career Site
25.0,2,8,1.9,False,True,offer accepted: Offers.Status = Accepted,trailing 3m to 2026-09-14,Offers.Offered On,distinct candidate+opening,Applications.Referred By overrides Source,bucket: Job Board + LinkedIn + Career Site
25.0,2,8,1.9,False,True,offer accepted: Offers.Status = Accepted,trailing 3m to 2026-09-14,Offers.Offered On,distinct candidate record,Candidates.Source as recorded,bucket: Job Board + LinkedIn + Career Site
25.0,2,8,1.9,False,True,offer accepted: Offers.Status = Accepted,trailing 3m to 2026-09-14,Offers.Offered On,distinct candidate record,Applications.Referred By overrides Source,bucket: Job Board + LinkedIn + Career Site
25.0,2,8,1.9,False,True,offer accepted: Offers.Status = Accepted,trailing 3m to 2026-09-14,Offers.Offered On,distinct person (name+phone),Candidates.Source as recorded,bucket: Job Board + LinkedIn + Career Site
25.0,2,8,1.9,False,True,offer accepted: Offers.Status = Accepted,trailing 3m to 2026-09-14,Offers.Offered On,distinct person (name+phone),Applications.Referred By overrides Source,bucket: Job Board + LinkedIn + Career Site
25.0,2,8,1.9,False,True,hire on a Filled opening: Stage = Hired and Opening.Status = Filled,trailing 6m to 2026-08-27,Applications.Closed On,distinct candidate record,Candidates.Source as recorded,bucket: Job Board + LinkedIn
25.0,2,8,1.9,False,True,hire on a Filled opening: Stage = Hired and Opening.Status = Filled,trailing 6m to 2026-08-27,Applications.Closed On,distinct candidate record,Applications.Referred By overrides Source,bucket: Job Board + LinkedIn
25.0,2,8,1.9,False,True,hire on a Filled opening: Stage = Hired and Opening.Status = Filled,trailing 6m to 2026-08-27,Applications.Closed On,distinct person (name+phone),Candidates.Source as recorded,bucket: Job Board + LinkedIn
25.0,2,8,1.9,False,True,hire on a Filled opening: Stage = Hired and Opening.Status = Filled,trailing 6m to 2026-08-27,Applications.Closed On,distinct person (name+phone),Applications.Referred By overrides Source,bucket: Job Board + LinkedIn
25.0,2,8,1.9,False,True,hire on a Filled opening: Stage = Hired and Opening.Status = Filled,trailing 3m to 2026-08-27,Applications.Closed On,application rows,Candidates.Source as recorded,bucket: Job Board + LinkedIn
25.0,2,8,1.9,False,True,hire on a Filled opening: Stage = Hired and Opening.Status = Filled,trailing 3m to 2026-08-27,Applications.Closed On,application rows,Applications.Referred By overrides Source,bucket: Job Board + LinkedIn
25.0,2,8,1.9,False,True,hire on a Filled opening: Stage = Hired and Opening.Status = Filled,trailing 3m to 2026-08-27,Applications.Closed On,distinct candidate+opening,Candidates.Source as recorded,bucket: Job Board + LinkedIn
25.0,2,8,1.9,False,True,hire on a Filled opening: Stage = Hired and Opening.Status = Filled,trailing 3m to 2026-08-27,Applications.Closed On,distinct candidate+opening,Applications.Referred By overrides Source,bucket: Job Board + LinkedIn
25.0,2,8,1.9,False,True,hire on a Filled opening: Stage = Hired and Opening.Status = Filled,trailing 3m to 2026-08-27,Applications.Closed On,distinct candidate record,Candidates.Source as recorded,bucket: Job Board + LinkedIn
