numerator,denominator,pct,abs_diff_pp,reproduces,definitions,all_time,event,window,date_basis,unit,attribution,channel
5,17,29.41,2.51,False,8,0,hire started: Accepted and Proposed Start Date <= 2026-09-14 | hired: Applications.Stage = Hired | offer accepted: Offers.Status = Accepted,2026 YTD to 2026-09-14 | trailing 6m to 2026-09-14,Applications.Applied On | Offers.Proposed Start Date,application rows | distinct candidate+opening,Applications.Referred By overrides Source | Candidates.Source as recorded,bucket: Job Board + LinkedIn
6,25,24.0,2.9,False,16,3,hire started: Accepted and Proposed Start Date <= 2026-09-14 | hired: Applications.Stage = Hired | offer accepted: Offers.Status = Accepted,all time | trailing 12m to 2026-08-27 | trailing 12m to 2026-09-14,Applications.Applied On | Applications.Closed On | Offers.Decision On | Offers.Offered On | Offers.Proposed Start Date | none (all time),application rows | distinct candidate+opening,Applications.Referred By overrides Source | Candidates.Source as recorded,raw Source = Job Board
6,20,30.0,3.1,False,4,0,hired: Applications.Stage = Hired | offer accepted: Offers.Status = Accepted,2026 YTD to 2026-09-14,Offers.Decision On,application rows,Applications.Referred By overrides Source | Candidates.Source as recorded,bucket: Job Board + LinkedIn
7,23,30.43,3.53,False,29,4,hire started: Accepted and Proposed Start Date <= 2026-08-27 | hire started: Accepted and Proposed Start Date <= 2026-09-14 | hired: Applications.Stage = Hired | offer accepted: Offers.Status = Accepted | offer extended: any Offer record,all time | trailing 12m to 2026-08-27 | trailing 12m to 2026-09-14 | trailing 6m to 2026-08-27 | trailing 6m to 2026-09-14,Applications.Applied On | Offers.Offered On | Offers.Proposed Start Date | none (all time),application rows | distinct candidate record | distinct candidate+opening | distinct person (name+phone),Applications.Referred By overrides Source | Candidates.Source as recorded,raw Source = Job Board
6,26,23.08,3.82,False,11,2,hired: Applications.Stage = Hired | offer accepted: Offers.Status = Accepted,all time | trailing 12m to 2026-08-27 | trailing 12m to 2026-09-14,Applications.Applied On | Applications.Closed On | Offers.Decision On | Offers.Offered On | none (all time),application rows,Applications.Referred By overrides Source,raw Source = Job Board
8,26,30.77,3.87,False,2,0,offer extended: any Offer record,2026 YTD to 2026-09-14,Offers.Offered On,distinct person (name+phone),Applications.Referred By overrides Source | Candidates.Source as recorded,raw Source = Job Board
10,32,31.25,4.35,False,3,1,offer extended: any Offer record,all time | trailing 12m to 2026-08-27 | trailing 12m to 2026-09-14,Offers.Offered On | none (all time),distinct candidate record,Applications.Referred By overrides Source,raw Source = Job Board
5,16,31.25,4.35,False,42,0,hire started: Accepted and Proposed Start Date <= 2026-08-27 | hire started: Accepted and Proposed Start Date <= 2026-09-14 | hired: Applications.Stage = Hired | offer accepted: Offers.Status = Accepted,2026 YTD to 2026-09-14 | trailing 6m to 2026-08-27 | trailing 6m to 2026-09-14,Applications.Applied On | Applications.Closed On | Offers.Decision On | Offers.Offered On | Offers.Proposed Start Date,application rows | distinct candidate record | distinct candidate+opening | distinct person (name+phone),Applications.Referred By overrides Source | Candidates.Source as recorded,bucket: Job Board + LinkedIn
6,19,31.58,4.68,False,8,0,hired: Applications.Stage = Hired | offer accepted: Offers.Status = Accepted,2026 YTD to 2026-09-14,Applications.Closed On | Offers.Decision On | Offers.Offered On,application rows | distinct candidate+opening,Applications.Referred By overrides Source | Candidates.Source as recorded,bucket: Job Board + LinkedIn
4,18,22.22,4.68,False,16,0,hire started: Accepted and Proposed Start Date <= 2026-08-27 | hire started: Accepted and Proposed Start Date <= 2026-09-14 | hired: Applications.Stage = Hired | offer accepted: Offers.Status = Accepted,2026 YTD to 2026-09-14,Offers.Proposed Start Date,distinct candidate record | distinct person (name+phone),Applications.Referred By overrides Source | Candidates.Source as recorded,raw Source = Job Board
2,9,22.22,4.68,False,30,4,hire on a Filled opening: Stage = Hired and Opening.Status = Filled | hired: Applications.Stage = Hired,2026 YTD to 2026-09-14 | all time | trailing 12m to 2026-08-27 | trailing 12m to 2026-09-14 | trailing 3m to 2026-09-14 | trailing 6m to 2026-08-27 | trailing 6m to 2026-09-14,Applications.Closed On | none (all time),application rows | distinct candidate record | distinct candidate+opening | distinct person (name+phone),Applications.Referred By overrides Source | Candidates.Source as recorded,bucket: Job Board + LinkedIn
7,22,31.82,4.92,False,4,0,offer extended: any Offer record,trailing 6m to 2026-09-14,Offers.Offered On,distinct candidate record | distinct person (name+phone),Applications.Referred By overrides Source | Candidates.Source as recorded,raw Source = Job Board
8,25,32.0,5.1,False,1,0,hired: Applications.Stage = Hired,trailing 12m to 2026-09-14,Applications.Applied On,application rows,Applications.Referred By overrides Source,bucket: Job Board + LinkedIn
5,23,21.74,5.16,False,1,0,hired: Applications.Stage = Hired,trailing 12m to 2026-09-14,Applications.Applied On,distinct candidate record,Applications.Referred By overrides Source,raw Source = Job Board
9,28,32.14,5.24,False,2,0,offer extended: any Offer record,2026 YTD to 2026-09-14,Offers.Offered On,application rows,Applications.Referred By overrides Source | Candidates.Source as recorded,raw Source = Job Board
10,31,32.26,5.36,False,3,1,offer extended: any Offer record,all time | trailing 12m to 2026-08-27 | trailing 12m to 2026-09-14,Offers.Offered On | none (all time),distinct person (name+phone),Applications.Referred By overrides Source,raw Source = Job Board
4,19,21.05,5.85,False,10,0,hire started: Accepted and Proposed Start Date <= 2026-08-27 | hire started: Accepted and Proposed Start Date <= 2026-09-14 | hired: Applications.Stage = Hired | offer accepted: Offers.Status = Accepted,2026 YTD to 2026-09-14,Offers.Proposed Start Date,application rows | distinct candidate+opening,Applications.Referred By overrides Source | Candidates.Source as recorded,raw Source = Job Board
5,24,20.83,6.07,False,1,0,hired: Applications.Stage = Hired,trailing 12m to 2026-09-14,Applications.Applied On,distinct candidate+opening,Applications.Referred By overrides Source,raw Source = Job Board
12,36,33.33,6.43,False,3,1,offer extended: any Offer record,all time | trailing 12m to 2026-08-27 | trailing 12m to 2026-09-14,Offers.Offered On | none (all time),application rows,Applications.Referred By overrides Source,raw Source = Job Board
9,27,33.33,6.43,False,2,0,offer extended: any Offer record,2026 YTD to 2026-09-14,Offers.Offered On,distinct candidate+opening,Applications.Referred By overrides Source | Candidates.Source as recorded,raw Source = Job Board
8,24,33.33,6.43,False,12,2,hired: Applications.Stage = Hired | offer accepted: Offers.Status = Accepted,all time | trailing 12m to 2026-08-27 | trailing 12m to 2026-09-14,Applications.Applied On | Applications.Closed On | Offers.Decision On | Offers.Offered On | none (all time),distinct candidate+opening | distinct person (name+phone),Applications.Referred By overrides Source | Candidates.Source as recorded,bucket: Job Board + LinkedIn | raw Source = Job Board
6,18,33.33,6.43,False,12,0,hired: Applications.Stage = Hired | offer accepted: Offers.Status = Accepted,2026 YTD to 2026-09-14,Applications.Closed On | Offers.Decision On | Offers.Offered On,distinct candidate record | distinct candidate+opening | distinct person (name+phone),Applications.Referred By overrides Source | Candidates.Source as recorded,bucket: Job Board + LinkedIn
5,15,33.33,6.43,False,48,0,hire started: Accepted and Proposed Start Date <= 2026-08-27 | hire started: Accepted and Proposed Start Date <= 2026-09-14 | hired: Applications.Stage = Hired | offer accepted: Offers.Status = Accepted,trailing 6m to 2026-08-27 | trailing 6m to 2026-09-14,Applications.Closed On | Offers.Decision On | Offers.Offered On | Offers.Proposed Start Date,application rows | distinct candidate record | distinct candidate+opening | distinct person (name+phone),Applications.Referred By overrides Source | Candidates.Source as recorded,bucket: Job Board + LinkedIn
3,9,33.33,6.43,False,8,0,hired: Applications.Stage = Hired,trailing 3m to 2026-09-14,Applications.Closed On,application rows | distinct candidate record | distinct candidate+opening | distinct person (name+phone),Applications.Referred By overrides Source | Candidates.Source as recorded,bucket: Job Board + LinkedIn + Career Site
5,25,20.0,6.9,False,1,0,hired: Applications.Stage = Hired,trailing 12m to 2026-09-14,Applications.Applied On,application rows,Applications.Referred By overrides Source,raw Source = Job Board
4,20,20.0,6.9,False,6,0,hire started: Accepted and Proposed Start Date <= 2026-09-14 | hired: Applications.Stage = Hired | offer accepted: Offers.Status = Accepted,2026 YTD to 2026-09-14,Offers.Proposed Start Date,application rows,Applications.Referred By overrides Source | Candidates.Source as recorded,raw Source = Job Board
2,10,20.0,6.9,False,8,2,hire on a Filled opening: Stage = Hired and Opening.Status = Filled,2026 YTD to 2026-09-14 | all time | trailing 12m to 2026-08-27 | trailing 12m to 2026-09-14,Applications.Closed On | none (all time),application rows | distinct candidate+opening,Applications.Referred By overrides Source | Candidates.Source as recorded,bucket: Job Board + LinkedIn
1,5,20.0,6.9,False,8,0,hired: Applications.Stage = Hired,trailing 3m to 2026-08-27,Applications.Applied On,application rows | distinct candidate record | distinct candidate+opening | distinct person (name+phone),Applications.Referred By overrides Source | Candidates.Source as recorded,bucket: Job Board + LinkedIn
12,35,34.29,7.39,False,3,1,offer extended: any Offer record,all time | trailing 12m to 2026-08-27 | trailing 12m to 2026-09-14,Offers.Offered On | none (all time),distinct candidate+opening,Applications.Referred By overrides Source,raw Source = Job Board
11,32,34.38,7.48,False,3,1,offer extended: any Offer record,all time | trailing 12m to 2026-08-27 | trailing 12m to 2026-09-14,Offers.Offered On | none (all time),distinct candidate record,Candidates.Source as recorded,raw Source = Job Board
9,26,34.62,7.72,False,13,2,hired: Applications.Stage = Hired | offer accepted: Offers.Status = Accepted | offer extended: any Offer record,2026 YTD to 2026-09-14 | all time | trailing 12m to 2026-08-27 | trailing 12m to 2026-09-14,Applications.Applied On | Applications.Closed On | Offers.Decision On | Offers.Offered On | none (all time),application rows | distinct candidate record,Applications.Referred By overrides Source | Candidates.Source as recorded,bucket: Job Board + LinkedIn | raw Source = Job Board
8,23,34.78,7.88,False,11,2,hire started: Accepted and Proposed Start Date <= 2026-08-27 | hire started: Accepted and Proposed Start Date <= 2026-09-14 | hired: Applications.Stage = Hired | offer accepted: Offers.Status = Accepted,all time | trailing 12m to 2026-08-27 | trailing 12m to 2026-09-14,Applications.Applied On | Offers.Proposed Start Date | none (all time),distinct candidate record | distinct person (name+phone),Applications.Referred By overrides Source | Candidates.Source as recorded,bucket: Job Board + LinkedIn | raw Source = Job Board
7,20,35.0,8.1,False,6,0,hire started: Accepted and Proposed Start Date <= 2026-09-14 | hired: Applications.Stage = Hired | offer accepted: Offers.Status = Accepted,2026 YTD to 2026-09-14,Offers.Proposed Start Date,application rows,Applications.Referred By overrides Source | Candidates.Source as recorded,bucket: Job Board + LinkedIn
3,16,18.75,8.15,False,16,0,hire started: Accepted and Proposed Start Date <= 2026-08-27 | hire started: Accepted and Proposed Start Date <= 2026-09-14 | hired: Applications.Stage = Hired | offer accepted: Offers.Status = Accepted,trailing 6m to 2026-08-27,Offers.Proposed Start Date,distinct candidate record | distinct person (name+phone),Applications.Referred By overrides Source | Candidates.Source as recorded,raw Source = Job Board
6,17,35.29,8.39,False,24,0,hire started: Accepted and Proposed Start Date <= 2026-08-27 | hire started: Accepted and Proposed Start Date <= 2026-09-14 | hired: Applications.Stage = Hired | offer accepted: Offers.Status = Accepted,2026 YTD to 2026-09-14 | trailing 6m to 2026-08-27,Applications.Closed On | Offers.Offered On | Offers.Proposed Start Date,application rows | distinct candidate record | distinct candidate+opening | distinct person (name+phone),Applications.Referred By overrides Source | Candidates.Source as recorded,bucket: Job Board + LinkedIn
11,31,35.48,8.58,False,3,1,offer extended: any Offer record,all time | trailing 12m to 2026-08-27 | trailing 12m to 2026-09-14,Offers.Offered On | none (all time),distinct person (name+phone),Candidates.Source as recorded,raw Source = Job Board
2,11,18.18,8.72,False,6,2,hire on a Filled opening: Stage = Hired and Opening.Status = Filled,all time | trailing 12m to 2026-08-27 | trailing 12m to 2026-09-14,Applications.Closed On | none (all time),application rows,Applications.Referred By overrides Source | Candidates.Source as recorded,bucket: Job Board + LinkedIn
5,14,35.71,8.81,False,20,0,hired: Applications.Stage = Hired | offer accepted: Offers.Status = Accepted,trailing 6m to 2026-08-27 | trailing 6m to 2026-09-14,Applications.Applied On | Offers.Offered On,application rows | distinct candidate record | distinct candidate+opening | distinct person (name+phone),Applications.Referred By overrides Source | Candidates.Source as recorded,bucket: Job Board + LinkedIn
9,25,36.0,9.1,False,16,3,hire started: Accepted and Proposed Start Date <= 2026-09-14 | hired: Applications.Stage = Hired | offer accepted: Offers.Status = Accepted,all time | trailing 12m to 2026-08-27 | trailing 12m to 2026-09-14,Applications.Applied On | Applications.Closed On | Offers.Decision On | Offers.Offered On | Offers.Proposed Start Date | none (all time),application rows | distinct candidate+opening,Applications.Referred By overrides Source | Candidates.Source as recorded,bucket: Job Board + LinkedIn
13,36,36.11,9.21,False,3,1,offer extended: any Offer record,all time | trailing 12m to 2026-08-27 | trailing 12m to 2026-09-14,Offers.Offered On | none (all time),application rows,Candidates.Source as recorded,raw Source = Job Board
3,17,17.65,9.25,False,24,0,hire started: Accepted and Proposed Start Date <= 2026-08-27 | hire started: Accepted and Proposed Start Date <= 2026-09-14 | hired: Applications.Stage = Hired | offer accepted: Offers.Status = Accepted,2026 YTD to 2026-09-14 | trailing 6m to 2026-08-27,Applications.Closed On | Offers.Offered On | Offers.Proposed Start Date,application rows | distinct candidate record | distinct candidate+opening | distinct person (name+phone),Applications.Referred By overrides Source | Candidates.Source as recorded,raw Source = Job Board
4,11,36.36,9.46,False,38,2,hire on a Filled opening: Stage = Hired and Opening.Status = Filled | hire started: Accepted and Proposed Start Date <= 2026-09-14 | hired: Applications.Stage = Hired | offer accepted: Offers.Status = Accepted | offer extended: any Offer record,all time | trailing 12m to 2026-08-27 | trailing 12m to 2026-09-14 | trailing 3m to 2026-09-14,Applications.Closed On | Offers.Offered On | Offers.Proposed Start Date | none (all time),application rows | distinct candidate record | distinct candidate+opening | distinct person (name+phone),Applications.Referred By overrides Source | Candidates.Source as recorded,bucket: Job Board + LinkedIn | bucket: Job Board + LinkedIn + Career Site
7,19,36.84,9.94,False,10,0,hire started: Accepted and Proposed Start Date <= 2026-08-27 | hire started: Accepted and Proposed Start Date <= 2026-09-14 | hired: Applications.Stage = Hired | offer accepted: Offers.Status = Accepted,2026 YTD to 2026-09-14,Offers.Proposed Start Date,application rows | distinct candidate+opening,Applications.Referred By overrides Source | Candidates.Source as recorded,bucket: Job Board + LinkedIn
3,18,16.67,10.23,False,12,0,hired: Applications.Stage = Hired | offer accepted: Offers.Status = Accepted,2026 YTD to 2026-09-14,Applications.Closed On | Offers.Decision On | Offers.Offered On,distinct candidate record | distinct candidate+opening | distinct person (name+phone),Applications.Referred By overrides Source | Candidates.Source as recorded,raw Source = Job Board
2,12,16.67,10.23,False,32,0,hire started: Accepted and Proposed Start Date <= 2026-08-27 | hire started: Accepted and Proposed Start Date <= 2026-09-14 | hired: Applications.Stage = Hired | offer accepted: Offers.Status = Accepted,trailing 3m to 2026-08-27,Offers.Proposed Start Date,application rows | distinct candidate record | distinct candidate+opening | distinct person (name+phone),Applications.Referred By overrides Source | Candidates.Source as recorded,raw Source = Job Board
13,35,37.14,10.24,False,3,1,offer extended: any Offer record,all time | trailing 12m to 2026-08-27 | trailing 12m to 2026-09-14,Offers.Offered On | none (all time),distinct candidate+opening,Candidates.Source as recorded,raw Source = Job Board
9,24,37.5,10.6,False,28,5,hire started: Accepted and Proposed Start Date <= 2026-08-27 | hire started: Accepted and Proposed Start Date <= 2026-09-14 | hired: Applications.Stage = Hired | offer accepted: Offers.Status = Accepted,all time | trailing 12m to 2026-08-27 | trailing 12m to 2026-09-14,Applications.Applied On | Applications.Closed On | Offers.Decision On | Offers.Offered On | Offers.Proposed Start Date | none (all time),application rows | distinct candidate record | distinct candidate+opening,Applications.Referred By overrides Source | Candidates.Source as recorded,bucket: Job Board + LinkedIn
6,16,37.5,10.6,False,24,0,hire started: Accepted and Proposed Start Date <= 2026-08-27 | hire started: Accepted and Proposed Start Date <= 2026-09-14 | hired: Applications.Stage = Hired | offer accepted: Offers.Status = Accepted | offer extended: any Offer record,trailing 3m to 2026-08-27 | trailing 6m to 2026-08-27,Offers.Offered On | Offers.Proposed Start Date,application rows | distinct candidate record | distinct candidate+opening | distinct person (name+phone),Applications.Referred By overrides Source | Candidates.Source as recorded,bucket: Job Board + LinkedIn
3,8,37.5,10.6,False,3,0,offer extended: any Offer record,calendar 2025,Offers.Offered On,application rows | distinct candidate record | distinct candidate+opening,Applications.Referred By overrides Source,raw Source = Job Board
3,19,15.79,11.11,False,8,0,hired: Applications.Stage = Hired | offer accepted: Offers.Status = Accepted,2026 YTD to 2026-09-14,Applications.Closed On | Offers.Decision On | Offers.Offered On,application rows | distinct candidate+opening,Applications.Referred By overrides Source | Candidates.Source as recorded,raw Source = Job Board
10,26,38.46,11.56,False,11,2,hired: Applications.Stage = Hired | offer accepted: Offers.Status = Accepted,all time | trailing 12m to 2026-08-27 | trailing 12m to 2026-09-14,Applications.Applied On | Applications.Closed On | Offers.Decision On | Offers.Offered On | none (all time),application rows,Candidates.Source as recorded,bucket: Job Board + LinkedIn
3,20,15.0,11.9,False,4,0,hired: Applications.Stage = Hired | offer accepted: Offers.Status = Accepted,2026 YTD to 2026-09-14,Offers.Decision On,application rows,Applications.Referred By overrides Source | Candidates.Source as recorded,raw Source = Job Board
7,18,38.89,11.99,False,16,0,hire started: Accepted and Proposed Start Date <= 2026-08-27 | hire started: Accepted and Proposed Start Date <= 2026-09-14 | hired: Applications.Stage = Hired | offer accepted: Offers.Status = Accepted,2026 YTD to 2026-09-14,Offers.Proposed Start Date,distinct candidate record | distinct person (name+phone),Applications.Referred By overrides Source | Candidates.Source as recorded,bucket: Job Board + LinkedIn
9,23,39.13,12.23,False,12,2,hire started: Accepted and Proposed Start Date <= 2026-08-27 | hire started: Accepted and Proposed Start Date <= 2026-09-14 | hired: Applications.Stage = Hired | offer accepted: Offers.Status = Accepted,all time | trailing 12m to 2026-08-27 | trailing 12m to 2026-09-14,Applications.Applied On | Offers.Proposed Start Date | none (all time),distinct candidate record | distinct person (name+phone),Applications.Referred By overrides Source | Candidates.Source as recorded,bucket: Job Board + LinkedIn
2,14,14.29,12.61,False,20,0,hired: Applications.Stage = Hired | offer accepted: Offers.Status = Accepted,trailing 6m to 2026-08-27 | trailing 6m to 2026-09-14,Applications.Applied On | Offers.Offered On,application rows | distinct candidate record | distinct candidate+opening | distinct person (name+phone),Applications.Referred By overrides Source | Candidates.Source as recorded,raw Source = Job Board
10,25,40.0,13.1,False,15,3,hire started: Accepted and Proposed Start Date <= 2026-09-14 | hired: Applications.Stage = Hired | offer accepted: Offers.Status = Accepted,all time | trailing 12m to 2026-08-27 | trailing 12m to 2026-09-14,Applications.Applied On | Applications.Closed On | Offers.Decision On | Offers.Offered On | Offers.Proposed Start Date | none (all time),application rows | distinct candidate+opening,Candidates.Source as recorded,bucket: Job Board + LinkedIn
4,10,40.0,13.1,False,16,2,hire on a Filled opening: Stage = Hired and Opening.Status = Filled | hire started: Accepted and Proposed Start Date <= 2026-08-27,2026 YTD to 2026-09-14 | all time | trailing 12m to 2026-08-27 | trailing 12m to 2026-09-14 | trailing 3m to 2026-09-14,Applications.Closed On | Offers.Proposed Start Date | none (all time),application rows | distinct candidate record | distinct candidate+opening | distinct person (name+phone),Applications.Referred By overrides Source | Candidates.Source as recorded,bucket: Job Board + LinkedIn | bucket: Job Board + LinkedIn + Career Site
2,5,40.0,13.1,False,44,0,hire started: Accepted and Proposed Start Date <= 2026-08-27 | hire started: Accepted and Proposed Start Date <= 2026-09-14 | hired: Applications.Stage = Hired | offer accepted: Offers.Status = Accepted,calendar 2025 | trailing 3m to 2026-08-27,Applications.Applied On | Offers.Proposed Start Date,application rows | distinct candidate record | distinct candidate+opening | distinct person (name+phone),Applications.Referred By overrides Source | Candidates.Source as recorded,bucket: Job Board + LinkedIn | bucket: Job Board + LinkedIn + Career Site | raw Source = Job Board
2,15,13.33,13.57,False,48,0,hire started: Accepted and Proposed Start Date <= 2026-08-27 | hire started: Accepted and Proposed Start Date <= 2026-09-14 | hired: Applications.Stage = Hired | offer accepted: Offers.Status = Accepted,trailing 6m to 2026-08-27 | trailing 6m to 2026-09-14,Applications.Closed On | Offers.Decision On | Offers.Offered On | Offers.Proposed Start Date,application rows | distinct candidate record | distinct candidate+opening | distinct person (name+phone),Applications.Referred By overrides Source | Candidates.Source as recorded,raw Source = Job Board
2,16,12.5,14.4,False,50,0,hire started: Accepted and Proposed Start Date <= 2026-08-27 | hire started: Accepted and Proposed Start Date <= 2026-09-14 | hired: Applications.Stage = Hired | offer accepted: Offers.Status = Accepted | offer extended: any Offer record,2026 YTD to 2026-09-14 | trailing 3m to 2026-08-27 | trailing 6m to 2026-08-27 | trailing 6m to 2026-09-14,Applications.Applied On | Applications.Closed On | Offers.Decision On | Offers.Offered On | Offers.Proposed Start Date,application rows | distinct candidate record | distinct candidate+opening | distinct person (name+phone),Applications.Referred By overrides Source | Candidates.Source as recorded,raw Source = Job Board
1,8,12.5,14.4,False,8,0,offer accepted: Offers.Status = Accepted,trailing 3m to 2026-09-14,Offers.Offered On,application rows | distinct candidate record | distinct candidate+opening | distinct person (name+phone),Applications.Referred By overrides Source | Candidates.Source as recorded,bucket: Job Board + LinkedIn
10,24,41.67,14.77,False,38,7,hire started: Accepted and Proposed Start Date <= 2026-08-27 | hire started: Accepted and Proposed Start Date <= 2026-09-14 | hired: Applications.Stage = Hired | offer accepted: Offers.Status = Accepted,all time | trailing 12m to 2026-08-27 | trailing 12m to 2026-09-14,Applications.Applied On | Applications.Closed On | Offers.Decision On | Offers.Offered On | Offers.Proposed Start Date | none (all time),application rows | distinct candidate record | distinct candidate+opening | distinct person (name+phone),Applications.Referred By overrides Source | Candidates.Source as recorded,bucket: Job Board + LinkedIn
5,12,41.67,14.77,False,32,0,hire started: Accepted and Proposed Start Date <= 2026-08-27 | hire started: Accepted and Proposed Start Date <= 2026-09-14 | hired: Applications.Stage = Hired | offer accepted: Offers.Status = Accepted,trailing 3m to 2026-08-27,Offers.Proposed Start Date,application rows | distinct candidate record | distinct candidate+opening | distinct person (name+phone),Applications.Referred By overrides Source | Candidates.Source as recorded,bucket: Job Board + LinkedIn
2,17,11.76,15.14,False,8,0,hire started: Accepted and Proposed Start Date <= 2026-09-14 | hired: Applications.Stage = Hired | offer accepted: Offers.Status = Accepted,2026 YTD to 2026-09-14 | trailing 6m to 2026-09-14,Applications.Applied On | Offers.Proposed Start Date,application rows | distinct candidate+opening,Applications.Referred By overrides Source | Candidates.Source as recorded,raw Source = Job Board
2,18,11.11,15.79,False,2,0,hired: Applications.Stage = Hired,2026 YTD to 2026-09-14,Applications.Applied On,application rows,Applications.Referred By overrides Source | Candidates.Source as recorded,raw Source = Job Board
3,7,42.86,15.96,False,20,0,hire on a Filled opening: Stage = Hired and Opening.Status = Filled | hired: Applications.Stage = Hired | offer accepted: Offers.Status = Accepted,calendar 2025 | trailing 3m to 2026-09-14,Applications.Closed On | Offers.Offered On,application rows | distinct candidate record | distinct candidate+opening | distinct person (name+phone),Applications.Referred By overrides Source | Candidates.Source as recorded,bucket: Job Board + LinkedIn | bucket: Job Board + LinkedIn + Career Site | raw Source = Job Board
10,23,43.48,16.58,False,21,4,hire started: Accepted and Proposed Start Date <= 2026-08-27 | hire started: Accepted and Proposed Start Date <= 2026-09-14 | hired: Applications.Stage = Hired | offer accepted: Offers.Status = Accepted,all time | trailing 12m to 2026-08-27 | trailing 12m to 2026-09-14,Applications.Applied On | Offers.Proposed Start Date | none (all time),distinct candidate record | distinct person (name+phone),Applications.Referred By overrides Source | Candidates.Source as recorded,bucket: Job Board + LinkedIn
1,10,10.0,16.9,False,8,0,hire started: Accepted and Proposed Start Date <= 2026-08-27,trailing 3m to 2026-09-14,Offers.Proposed Start Date,application rows | distinct candidate record | distinct candidate+opening | distinct person (name+phone),Applications.Referred By overrides Source | Candidates.Source as recorded,raw Source = Job Board
